StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,flag_unrealistic,EngagementScore,AcademicEffort,PerformanceGap,StudyEfficiency,WellbeingIndex,DigitalScore,MotivationXResources,AttendanceXStudy,ExamXEngagement,GMM_Cluster
24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,0,65.2,25.5,-19,1.9166666666666667,-2,1.3,0,23.52,30.11244979919679,0
24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,0,77.60000000000001,24.0,12,3.4583333333333335,0,1.0,0,23.52,64.66666666666667,0
24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,0,73.60000000000001,26.5,34,3.9583333333333335,0,1.5,0,23.52,70.20080321285141,0
17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,0,69.2,23.5,5,4.294117647058823,1,1.3,2,13.600000000000001,50.71887550200804,0
17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,0,67.6,22.5,5,4.0588235294117645,3,2.1,2,13.600000000000001,46.83132530120482,0
17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,0,69.2,20.5,19,5.117647058823529,2,1.7000000000000002,2,13.600000000000001,60.44578313253013,0
17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,0,57.6,23.0,24,5.176470588235294,3,2.2,2,13.600000000000001,50.89156626506025,0
17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,0,71.2,17.0,5,4.588235294117647,3,1.0,2,13.600000000000001,55.759036144578324,0
17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,0,74.4,21.5,23,5.117647058823529,2,1.9,2,16.49,64.98795180722892,0
17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,0,86.80000000000001,27.0,12,4.823529411764706,2,3.0,2,16.49,71.46184738955824,0
17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,0,64.4,21.5,23,5.117647058823529,1,1.9,0,16.49,56.25301204819277,0
17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,0,76.80000000000001,27.0,12,4.823529411764706,1,3.0,0,16.49,63.228915662650614,0
20,74,2,1,1,0,0,22,3,3,1,93,97,1,2,0,0,86.80000000000001,21.5,4,4.85,1,1.3,2,14.8,84.53413654618475,0
20,74,2,1,1,0,0,24,1,20,1,68,67,0,1,2,0,76.80000000000001,30.0,-1,3.35,2,2.0,2,14.8,51.66265060240965,0
20,74,2,1,1,0,0,29,0,13,0,80,65,0,0,2,0,71.6,26.5,-15,3.25,3,1.3,2,14.8,46.726907630522085,0
22,83,1,1,2,0,1,28,2,11,0,96,75,1,2,1,0,81.60000000000001,27.5,-21,3.409090909090909,1,2.1,2,18.259999999999998,61.445783132530124,0
16,90,1,0,2,0,0,19,1,0,1,90,52,0,2,3,0,82.0,16.0,-38,3.25,1,0.0,2,14.4,42.81124497991968,0
18,66,1,1,0,0,1,22,1,3,0,50,73,1,1,1,0,56.400000000000006,19.5,23,4.055555555555555,0,1.3,0,11.88,41.337349397590366,0
18,66,1,1,0,0,1,27,2,11,0,57,60,1,0,2,0,59.2,23.5,3,3.3333333333333335,1,2.1,0,11.88,35.66265060240964,0
18,66,2,1,1,0,1,22,1,3,0,50,73,1,1,1,0,56.400000000000006,19.5,23,4.055555555555555,2,1.3,2,11.88,41.337349397590366,0
18,66,2,1,1,0,1,27,2,11,0,57,60,1,0,2,0,59.2,23.5,3,3.3333333333333335,3,2.1,2,11.88,35.66265060240964,0
25,65,2,1,0,0,0,25,3,0,1,62,51,0,1,3,0,70.8,25.0,-11,2.04,1,0.0,0,16.25,36.25301204819277,0
25,65,2,1,0,0,0,28,3,12,1,100,55,1,0,2,1,86.0,31.0,-45,2.2,2,2.2,0,16.25,47.48995983935743,0
21,65,2,1,0,0,0,20,3,1,1,54,54,1,0,3,0,67.6,21.5,0,2.5714285714285716,2,1.1,0,13.65,36.65060240963855,0
21,65,2,1,0,0,0,24,1,2,1,96,78,0,2,1,1,84.4,22.0,-18,3.7142857142857144,0,0.2,0,13.65,66.09638554216868,0
21,65,0,1,2,0,1,21,0,0,0,93,95,1,1,0,0,73.2,21.0,2,4.523809523809524,1,1.0,0,13.65,69.81927710843374,0
