StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,flag_unrealistic,EngagementScore,AcademicEffort,PerformanceGap,StudyEfficiency,WellbeingIndex,DigitalScore,MotivationXResources,AttendanceXStudy,ExamXEngagement,GMM_Cluster
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,0,52.400000000000006,28.5,32,5.2105263157894735,0,3.9000000000000004,0,12.16,52.0843373493976,2
19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,0,62.400000000000006,28.5,32,5.2105263157894735,0,3.9000000000000004,0,12.16,62.02409638554218,2
19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,0,62.400000000000006,28.5,32,5.2105263157894735,-1,3.9000000000000004,0,12.16,62.02409638554218,2
19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,0,62.400000000000006,28.5,32,5.2105263157894735,1,3.9000000000000004,1,12.16,62.02409638554218,2
19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,0,52.400000000000006,28.5,32,5.2105263157894735,2,3.9000000000000004,2,12.16,52.0843373493976,2
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,0,81.2,20.5,8,4.947368421052632,0,2.3,1,17.48,76.63453815261045,2
19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,0,71.2,20.5,8,4.947368421052632,1,2.3,2,17.48,67.19678714859438,2
19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,0,81.2,20.5,8,4.947368421052632,1,2.3,2,17.48,76.63453815261045,2
19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,0,71.2,20.5,8,4.947368421052632,1,2.3,2,17.48,67.19678714859438,2
17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,0,77.2,18.5,18,5.411764705882353,2,1.3,4,15.979999999999999,71.30923694779118,2
17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,0,77.2,18.5,18,5.411764705882353,-1,1.3,0,15.979999999999999,71.30923694779118,2
17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,0,77.2,18.5,18,5.411764705882353,0,1.3,1,15.979999999999999,71.30923694779118,2
17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,0,87.2,18.5,18,5.411764705882353,0,1.3,1,15.979999999999999,80.54618473895583,2
17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,0,77.2,18.5,18,5.411764705882353,0,1.3,0,15.979999999999999,71.30923694779118,2
17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,0,87.2,18.5,18,5.411764705882353,-2,1.3,0,15.979999999999999,80.54618473895583,2
17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,0,87.2,18.5,18,5.411764705882353,1,1.3,2,15.979999999999999,80.54618473895583,2
17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,0,69.2,23.5,5,4.294117647058823,0,2.3,1,13.600000000000001,50.71887550200804,2
17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,0,67.6,22.5,5,4.0588235294117645,2,3.1,1,13.600000000000001,46.83132530120482,2
17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,0,69.2,20.5,19,5.117647058823529,1,2.7,1,13.600000000000001,60.44578313253013,2
17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,0,57.6,23.0,24,5.176470588235294,2,3.2,1,13.600000000000001,50.89156626506025,2
17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,0,71.2,17.0,5,4.588235294117647,2,2.0,1,13.600000000000001,55.759036144578324,2
17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,0,69.2,23.5,5,4.294117647058823,1,2.3,2,13.600000000000001,50.71887550200804,2
17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,0,67.6,22.5,5,4.0588235294117645,3,3.1,2,13.600000000000001,46.83132530120482,2
17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,0,69.2,20.5,19,5.117647058823529,2,2.7,2,13.600000000000001,60.44578313253013,2
17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,0,57.6,23.0,24,5.176470588235294,3,3.2,2,13.600000000000001,50.89156626506025,2
17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,0,71.2,17.0,5,4.588235294117647,3,2.0,2,13.600000000000001,55.759036144578324,2
17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,0,74.4,21.5,23,5.117647058823529,1,2.9,0,16.49,64.98795180722892,2
17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,0,86.80000000000001,27.0,12,4.823529411764706,1,4.0,0,16.49,71.46184738955824,2
17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,0,64.4,21.5,23,5.117647058823529,1,2.9,1,16.49,56.25301204819277,2
17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,0,76.80000000000001,27.0,12,4.823529411764706,1,4.0,1,16.49,63.228915662650614,2
17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,0,64.4,21.5,23,5.117647058823529,3,2.9,4,16.49,56.25301204819277,2
17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,0,76.80000000000001,27.0,12,4.823529411764706,3,4.0,4,16.49,63.228915662650614,2
17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,0,64.4,21.5,23,5.117647058823529,2,2.9,2,16.49,56.25301204819277,2
17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,0,76.80000000000001,27.0,12,4.823529411764706,2,4.0,2,16.49,63.228915662650614,2
17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,0,74.4,21.5,23,5.117647058823529,0,2.9,0,16.49,64.98795180722892,2
17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,0,86.80000000000001,27.0,12,4.823529411764706,0,4.0,0,16.49,71.46184738955824,2
17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,0,74.4,21.5,23,5.117647058823529,1,2.9,1,16.49,64.98795180722892,2
17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,0,86.80000000000001,27.0,12,4.823529411764706,1,4.0,1,16.49,71.46184738955824,2
17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,0,74.4,21.5,23,5.117647058823529,0,2.9,0,16.49,64.98795180722892,2
17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,0,86.80000000000001,27.0,12,4.823529411764706,0,4.0,0,16.49,71.46184738955824,2
21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,0,84.0,24.5,19,4.571428571428571,3,2.7,4,17.43,80.96385542168676,2
9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,0,64.80000000000001,17.5,-15,4.444444444444445,0,3.7,1,7.38,26.024096385542173,2
9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,0,72.0,15.5,-27,5.111111111111111,0,3.3,1,7.38,33.25301204819277,2
10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,0,69.60000000000001,12.5,-3,6.8,1,2.5,2,7.800000000000001,47.518072289156635,2
10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1,0,75.2,18.5,-7,7.8,1,3.7,2,7.800000000000001,58.89156626506025,2
17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2,0,72.0,19.0,-23,3.764705882352941,0,2.4,1,11.56,46.265060240963855,2
17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2,0,82.0,19.0,-23,3.764705882352941,0,2.4,1,11.56,52.69076305220884,2
17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2,0,72.0,19.0,-23,3.764705882352941,1,2.4,2,11.56,46.265060240963855,2
17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2,0,82.0,19.0,-23,3.764705882352941,1,2.4,2,11.56,52.69076305220884,2
17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2,0,82.0,19.0,-23,3.764705882352941,0,2.4,0,11.56,52.69076305220884,2
15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2,0,62.0,16.0,6,3.7333333333333334,0,1.2,0,12.0,34.85943775100402,2
15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0,0,86.80000000000001,18.5,2,5.933333333333334,1,2.7,0,12.0,77.56224899598395,2
15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1,0,74.4,21.5,19,5.0,-1,3.3,0,12.0,56.02409638554217,2
15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2,0,52.0,16.0,6,3.7333333333333334,2,1.2,2,12.0,29.23694779116466,2
15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0,0,76.80000000000001,18.5,2,5.933333333333334,3,2.7,2,12.0,68.6265060240964,2
15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1,0,64.4,21.5,19,5.0,1,3.3,2,12.0,48.49397590361446,2
15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2,0,52.0,16.0,6,3.7333333333333334,1,1.2,0,12.0,29.23694779116466,2
15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0,0,76.80000000000001,18.5,2,5.933333333333334,2,2.7,0,12.0,68.6265060240964,2
15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1,0,64.4,21.5,19,5.0,0,3.3,0,12.0,48.49397590361446,2
15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,0,52.0,16.0,6,3.7333333333333334,1,1.2,1,12.0,29.23694779116466,2
15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,0,76.80000000000001,18.5,2,5.933333333333334,2,2.7,1,12.0,68.6265060240964,2
15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,0,64.4,21.5,19,5.0,0,3.3,1,12.0,48.49397590361446,2
15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2,0,62.0,16.0,6,3.7333333333333334,1,1.2,1,12.0,34.85943775100402,2
15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0,0,86.80000000000001,18.5,2,5.933333333333334,2,2.7,1,12.0,77.56224899598395,2
15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1,0,74.4,21.5,19,5.0,0,3.3,1,12.0,56.02409638554217,2
12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,0,76.4,20.0,5,5.916666666666667,1,3.6,2,9.0,54.46184738955824,2
12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,0,72.0,22.0,-7,4.0,2,4.0,2,9.0,34.69879518072289,2
20,74,2,0,0,1,0,22,3,3,1,93,97,1,2,0,0,76.80000000000001,21.5,4,4.85,0,2.3,0,14.8,74.79518072289159,2
20,74,1,1,0,1,0,22,3,3,1,93,97,1,2,0,0,86.80000000000001,21.5,4,4.85,-1,2.3,0,14.8,84.53413654618475,2
20,74,1,1,2,1,0,22,3,3,1,93,97,1,2,0,0,86.80000000000001,21.5,4,4.85,1,2.3,2,14.8,84.53413654618475,2
20,74,0,1,2,1,0,22,3,3,1,93,97,1,2,0,0,86.80000000000001,21.5,4,4.85,0,2.3,0,14.8,84.53413654618475,2
11,78,1,1,2,1,1,25,2,4,1,59,77,0,1,1,0,74.80000000000001,13.0,18,7.0,2,1.4,2,8.58,57.8273092369478,2
11,78,1,1,2,1,1,27,0,15,0,69,77,1,2,1,0,68.80000000000001,18.5,8,7.0,1,3.5,2,8.58,53.188755020080336,2
11,78,1,1,2,1,1,18,0,13,0,62,90,1,2,0,0,66.0,17.5,28,8.181818181818182,1,3.3,2,8.58,59.63855421686747,2
11,78,1,1,2,1,1,19,2,3,1,80,98,1,2,0,0,83.2,12.5,18,8.909090909090908,1,2.3,2,8.58,81.86345381526105,2
11,78,1,1,2,1,1,21,3,8,1,96,83,1,1,1,0,89.60000000000001,15.0,-13,7.545454545454546,2,2.8,2,8.58,74.66666666666667,2
11,78,2,1,1,1,1,25,2,4,1,59,77,0,1,1,0,74.80000000000001,13.0,18,7.0,2,1.4,2,8.58,57.8273092369478,2
11,78,2,1,1,1,1,27,0,15,0,69,77,1,2,1,0,68.80000000000001,18.5,8,7.0,1,3.5,2,8.58,53.188755020080336,2
11,78,2,1,1,1,1,18,0,13,0,62,90,1,2,0,0,66.0,17.5,28,8.181818181818182,1,3.3,2,8.58,59.63855421686747,2
11,78,2,1,1,1,1,19,2,3,1,80,98,1,2,0,0,83.2,12.5,18,8.909090909090908,1,2.3,2,8.58,81.86345381526105,2
11,78,2,1,1,1,1,21,3,8,1,96,83,1,1,1,0,89.60000000000001,15.0,-13,7.545454545454546,2,2.8,2,8.58,74.66666666666667,2
17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1,0,71.2,23.0,-16,4.235294117647059,3,2.2,2,11.05,51.4698795180723,2
17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2,0,67.6,25.0,-21,3.411764705882353,1,3.6,2,11.05,39.36546184738956,2
17,65,0,1,1,1,0,28,2,12,0,88,72,0,0,1,0,71.2,23.0,-16,4.235294117647059,1,2.2,0,11.05,51.4698795180723,2
17,65,0,1,1,1,0,21,1,16,0,79,58,1,2,2,0,67.6,25.0,-21,3.411764705882353,-1,3.6,0,11.05,39.36546184738956,2
17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1,0,61.2,23.0,-16,4.235294117647059,2,2.2,1,11.05,44.2409638554217,2
13,91,1,0,1,1,0,19,0,7,1,64,63,0,1,2,0,72.0,16.5,-1,4.846153846153846,1,1.7000000000000002,1,11.83,45.54216867469879,2
13,91,1,0,1,1,0,25,3,12,0,73,77,0,2,1,0,65.6,19.0,4,5.923076923076923,0,2.2,1,11.83,50.714859437751,2
13,91,1,0,1,1,0,21,0,13,1,98,100,0,2,0,0,85.6,19.5,2,7.6923076923076925,0,2.3,1,11.83,85.94377510040161,2
13,91,1,0,1,1,0,29,1,3,1,66,90,1,2,0,0,72.8,14.5,24,6.923076923076923,0,2.3,1,11.83,65.78313253012048,2
